table,description,code_2008,code_2012,code_2016,code_2020
American Indian and Alaska Native Alone,Female: 45 to 54 years,JVQE027,ABK3E027,AJ6QE027,AQYJE027
American Indian and Alaska Native Alone,Female: 55 to 64 years,JVQE028,ABK3E028,AJ6QE028,AQYJE028
American Indian and Alaska Native Alone,Female: 65 to 74 years,JVQE029,ABK3E029,AJ6QE029,AQYJE029
American Indian and Alaska Native Alone,Female: 75 to 84 years,JVQE030,ABK3E030,AJ6QE030,AQYJE030
American Indian and Alaska Native Alone,Female: 85 years and over,JVQE031,ABK3E031,AJ6QE031,AQYJE031
Asian Alone,Total,JVRE001,ABK4E001,AJ6RE001,AQYKE001
Asian Alone,Male,JVRE002,ABK4E002,AJ6RE002,AQYKE002
Asian Alone,Male: Under 5 years,JVRE003,ABK4E003,AJ6RE003,AQYKE003
Asian Alone,Male: 5 to 9 years,JVRE004,ABK4E004,AJ6RE004,AQYKE004
Asian Alone,Male: 10 to 14 years,JVRE005,ABK4E005,AJ6RE005,AQYKE005
Asian Alone,Male: 15 to 17 years,JVRE006,ABK4E006,AJ6RE006,AQYKE006
Asian Alone,Male: 18 and 19 years,JVRE007,ABK4E007,AJ6RE007,AQYKE007
Asian Alone,Male: 20 to 24 years,JVRE008,ABK4E008,AJ6RE008,AQYKE008
Asian Alone,Male: 25 to 29 years,JVRE009,ABK4E009,AJ6RE009,AQYKE009
Asian Alone,Male: 30 to 34 years,JVRE010,ABK4E010,AJ6RE010,AQYKE010
Asian Alone,Male: 35 to 44 years,JVRE011,ABK4E011,AJ6RE011,AQYKE011
Asian Alone,Male: 45 to 54 years,JVRE012,ABK4E012,AJ6RE012,AQYKE012
Asian Alone,Male: 55 to 64 years,JVRE013,ABK4E013,AJ6RE013,AQYKE013
Asian Alone,Male: 65 to 74 years,JVRE014,ABK4E014,AJ6RE014,AQYKE014
Asian Alone,Male: 75 to 84 years,JVRE015,ABK4E015,AJ6RE015,AQYKE015
Asian Alone,Male: 85 years and over,JVRE016,ABK4E016,AJ6RE016,AQYKE016
Asian Alone,Female,JVRE017,ABK4E017,AJ6RE017,AQYKE017
Asian Alone,Female: Under 5 years,JVRE018,ABK4E018,AJ6RE018,AQYKE018
Asian Alone,Female: 5 to 9 years,JVRE019,ABK4E019,AJ6RE019,AQYKE019
Asian Alone,Female: 10 to 14 years,JVRE020,ABK4E020,AJ6RE020,AQYKE020
Asian Alone,Female: 15 to 17 years,JVRE021,ABK4E021,AJ6RE021,AQYKE021
Asian Alone,Female: 18 and 19 years,JVRE022,ABK4E022,AJ6RE022,AQYKE022
Asian Alone,Female: 20 to 24 years,JVRE023,ABK4E023,AJ6RE023,AQYKE023
Asian Alone,Female: 25 to 29 years,JVRE024,ABK4E024,AJ6RE024,AQYKE024
Asian Alone,Female: 30 to 34 years,JVRE025,ABK4E025,AJ6RE025,AQYKE025
Asian Alone,Female: 35 to 44 years,JVRE026,ABK4E026,AJ6RE026,AQYKE026
Asian Alone,Female: 45 to 54 years,JVRE027,ABK4E027,AJ6RE027,AQYKE027
Asian Alone,Female: 55 to 64 years,JVRE028,ABK4E028,AJ6RE028,AQYKE028
Asian Alone,Female: 65 to 74 years,JVRE029,ABK4E029,AJ6RE029,AQYKE029
Asian Alone,Female: 75 to 84 years,JVRE030,ABK4E030,AJ6RE030,AQYKE030
Asian Alone,Female: 85 years and over,JVRE031,ABK4E031,AJ6RE031,AQYKE031
Native Hawaiian and Other Pacific Islander Alone,Total,JVSE001,ABK5E001,AJ6SE001,AQYLE001
Native Hawaiian and Other Pacific Islander Alone,Male,JVSE002,ABK5E002,AJ6SE002,AQYLE002
Native Hawaiian and Other Pacific Islander Alone,Male: Under 5 years,JVSE003,ABK5E003,AJ6SE003,AQYLE003
Native Hawaiian and Other Pacific Islander Alone,Male: 5 to 9 years,JVSE004,ABK5E004,AJ6SE004,AQYLE004
Native Hawaiian and Other Pacific Islander Alone,Male: 10 to 14 years,JVSE005,ABK5E005,AJ6SE005,AQYLE005
Native Hawaiian and Other Pacific Islander Alone,Male: 15 to 17 years,JVSE006,ABK5E006,AJ6SE006,AQYLE006
Native Hawaiian and Other Pacific Islander Alone,Male: 18 and 19 years,JVSE007,ABK5E007,AJ6SE007,AQYLE007
Native Hawaiian and Other Pacific Islander Alone,Male: 20 to 24 years,JVSE008,ABK5E008,AJ6SE008,AQYLE008
Native Hawaiian and Other Pacific Islander Alone,Male: 25 to 29 years,JVSE009,ABK5E009,AJ6SE009,AQYLE009
Native Hawaiian and Other Pacific Islander Alone,Male: 30 to 34 years,JVSE010,ABK5E010,AJ6SE010,AQYLE010
Native Hawaiian and Other Pacific Islander Alone,Male: 35 to 44 years,JVSE011,ABK5E011,AJ6SE011,AQYLE011
Native Hawaiian and Other Pacific Islander Alone,Male: 45 to 54 years,JVSE012,ABK5E012,AJ6SE012,AQYLE012
Native Hawaiian and Other Pacific Islander Alone,Male: 55 to 64 years,JVSE013,ABK5E013,AJ6SE013,AQYLE013
Native Hawaiian and Other Pacific Islander Alone,Male: 65 to 74 years,JVSE014,ABK5E014,AJ6SE014,AQYLE014
Native Hawaiian and Other Pacific Islander Alone,Male: 75 to 84 years,JVSE015,ABK5E015,AJ6SE015,AQYLE015
Native Hawaiian and Other Pacific Islander Alone,Male: 85 years and over,JVSE016,ABK5E016,AJ6SE016,AQYLE016
Native Hawaiian and Other Pacific Islander Alone,Female,JVSE017,ABK5E017,AJ6SE017,AQYLE017
Native Hawaiian and Other Pacific Islander Alone,Female: Under 5 years,JVSE018,ABK5E018,AJ6SE018,AQYLE018
Native Hawaiian and Other Pacific Islander Alone,Female: 5 to 9 years,JVSE019,ABK5E019,AJ6SE019,AQYLE019
Native Hawaiian and Other Pacific Islander Alone,Female: 10 to 14 years,JVSE020,ABK5E020,AJ6SE020,AQYLE020
Native Hawaiian and Other Pacific Islander Alone,Female: 15 to 17 years,JVSE021,ABK5E021,AJ6SE021,AQYLE021
Native Hawaiian and Other Pacific Islander Alone,Female: 18 and 19 years,JVSE022,ABK5E022,AJ6SE022,AQYLE022
Native Hawaiian and Other Pacific Islander Alone,Female: 20 to 24 years,JVSE023,ABK5E023,AJ6SE023,AQYLE023
Native Hawaiian and Other Pacific Islander Alone,Female: 25 to 29 years,JVSE024,ABK5E024,AJ6SE024,AQYLE024
Native Hawaiian and Other Pacific Islander Alone,Female: 30 to 34 years,JVSE025,ABK5E025,AJ6SE025,AQYLE025
