year,totalvotes,democrat_voter,other_voter,republican_voter,gisjoin
2008,303292,222826,5409,75057,G0600810
2008,174912,105614,3713,65585,G0600830
2008,665589,462241,13309,190039,G0600850
2008,127483,98745,3494,25244,G0600870
2008,80390,28867,1935,49588,G0600890
2008,1991,743,90,1158,G0600910
2008,21470,9292,658,11520,G0600930
2008,160973,102095,2843,56035,G0600950
2008,229351,168888,5336,55127,G0600970
2008,161015,80279,3239,77497,G0600990
2008,32941,13412,618,18911,G0601010
2008,24436,8945,648,14843,G0601030
2008,6374,3233,201,2940,G0601050
2008,105206,43634,1807,59765,G0601070
2008,27181,11532,661,14988,G0601090
2008,339800,187601,6346,145853,G0601110
2008,79749,53488,1669,24592,G0601130
2008,21401,8866,528,12007,G0601150
2008,160499,93443,3080,63976,G0800010
2008,6286,3521,130,2635,G0800030
2008,266148,148218,4064,113866,G0800050
2008,6625,2836,151,3638,G0800070
2008,2175,536,67,1572,G0800090
2008,1920,799,44,1077,G0800110
2008,171763,124159,2700,44904,G0800130
2008,29453,16168,528,12757,G0800140
2008,9920,4861,186,4873,G0800150
2008,1111,198,23,890,G0800170
2008,5767,3332,135,2300,G0800190
2008,3874,2154,67,1653,G0800210
2008,1697,1245,37,415,G0800230
2008,1558,552,30,976,G0800250
2008,2629,912,45,1672,G0800270
2008,15434,5084,283,10067,G0800290
2008,271533,204882,4084,62567,G0800310
2008,1217,369,30,818,G0800330
2008,151819,61960,1751,88108,G0800350
2008,21652,13187,286,8179,G0800370
2008,13206,3819,279,9108,G0800390
2008,273175,108899,3958,160318,G0800410
2008,19919,6844,407,12668,G0800430
2008,23082,11357,366,11359,G0800450
2008,3301,1954,94,1253,G0800470
2008,8308,4037,143,4128,G0800490
2008,8870,5556,183,3131,G0800510
2008,599,240,15,344,G0800530
2008,3643,1989,74,1580,G0800550
2008,913,277,12,624,G0800570
2008,295062,158153,5282,131627,G0800590
2008,852,178,24,650,G0800610
2008,3442,912,75,2455,G0800630
2008,3002,1859,65,1078,G0800650
2008,27979,16057,419,11503,G0800670
2008,166373,89822,2910,73641,G0800690
2008,6761,3562,113,3086,G0800710
2008,2304,546,41,1717,G0800730
2008,8977,2846,129,6002,G0800750
2008,69631,24008,1045,44578,G0800770
2008,623,270,19,334,G0800790
2008,5871,1582,154,4135,G0800810
2008,11825,4661,203,6961,G0800830
2008,19153,6495,459,12199,G0800850
2008,10234,3813,149,6272,G0800870
2008,8064,3546,125,4393,G0800890
2008,3060,1636,57,1367,G0800910
2008,9383,4250,237,4896,G0800930
2008,2260,622,26,1612,G0800950
2008,9966,7349,133,2484,G0800970
2008,4615,1487,85,3043,G0800990
2008,72427,41097,1073,30257,G0801010
2008,3147,655,55,2437,G0801030
2008,5444,2448,66,2930,G0801050
2008,13199,8270,204,4725,G0801070
2008,2747,1730,64,953,G0801090
2008,496,264,14,218,G0801110
2008,4350,3349,68,933,G0801130
2008,1351,468,26,857,G0801150
2008,14899,9802,214,4883,G0801170
2008,12906,4513,247,8146,G0801190
2008,2513,529,35,1949,G0801210
2008,105866,47292,2048,56526,G0801230
2008,4483,1117,80,3286,G0801250
2008,411096,241320,2931,166845,G0900010
2008,411785,268301,4768,138716,G0900030
2008,98870,51037,1657,46176,G0900050
2008,87155,52966,1282,32907,G0900070
2008,381739,232820,4454,144465,G0900090
2008,124765,74745,1560,48460,G0900110
2008,75406,44969,1175,29262,G0900130
2008,56269,34133,926,21210,G0900150
2008,66925,36392,706,29827,G1000010
2008,256417,178768,3041,74608,G1000030
2008,89070,40299,832,47939,G1000050
2008,265853,245800,2686,17367,G1100010
2008,125519,75565,1441,48513,G1200010
2008,11059,2327,60,8672,G1200030
2008,81127,23653,791,56683,G1200050
2008,11676,3430,110,8136,G1200070
2008,287859,127620,2650,157589,G1200090
2008,733899,492640,3530,237729,G1200110
2008,6244,1821,78,4345,G1200130
2008,85158,39031,922,45205,G1200150
